text,age,label,assessment,Война и мир,Игра в войну ,Реальность виртуального ,Антимилитаризм,Свой-чужой ,Патриотизм ,Положительная оценка СССР,Отрицательная оценка СССР,Критика 90-ых годов / Все о 90-ых,Клюква,Политическая ирония,Образ будущего ,Повесточка,Запрос на социальную справедливость и равенство,Запрос на объективность ,Запрос на альтернативность ,Запрос на субъектность ,Негативный национализм,Позитивный национализм ,Поддержка СВО,Критика СВО,СВО и ее последствия,Актуальные проблемы ,Критика власти/режима,Поддержка власти/режима,Принадлежность к идеологии: левый,Принадлежность к идеологии: правый,Принадлежность к идеологии: либерал/центрист,Ценности: гуманизм/антигуманизм,Мобилизационный и/или мотивационный потенциал ,Международная и/или мировая политика,Оппозиция,Личности и\или политики,Образ народа,Иное
"Я не любитель тематики войны, да и грустные игры мне особо не нравятся, но в этой игре удачно нивелируется уныние со светлыми моментами, графика и дизайн тоже клевые. В добавок есть озвучка.
Советую",Любой,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,9.10.2023,Положительный
"Замечательная трагедия про ребёнка войны, откуда можно подчеркнуть идеи взаимопомощи и доброты друг к другу.

Желаю соотечественникам мирного неба над головой и процветания!",30+,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,6,8.10.2023,Положительный
"К аудиовизуальной части вопросов нет - игра выглядит и звучит хорошо. Реализация некоторых игровых механик вызывает раздражение (например, такие как платформинг и движение предметов), но это в целом не сильно критично и можно исправить. Но вот смысловая часть игры... 

Такое чувство, что авторов этой игры спонсировали ""Фонд кино"", а вдохновлялись они небезызвестным Солженицыным: СССР здесь злой, советские летчики убивают мирных же советских граждан, а бравый НКВДшник выгоняет девочку жить в ""чистое поле"" к детям калекам, при этом немцы здесь показаны исключительно абстрактно и чуть ли не нейтрально. Тема ВОВ не раскрывается: ни слова о причинах войны, ни слова о ксенофобии (а что это?), ни слова о количестве жертв. Нет, я конечно же понимаю, что история рассказывается от лица маленькой девочки едва ли что понимающей, что происходит, но хоть что-то то можно было сказать, или на худой конец просто показать непосредственно нам, игрокам.

Гораздо лучше и полезнее вместо этой игры будет прочитать ""Судьбу человека"" или, если не верите злым ""совкам"", что-нибудь из Ремарка (но ни в коем случае не стоит смотреть последнюю экранизацию ""На Западном фронте без перемен"" от Netflix).

В каком-то из положительных отзывов видел предложение включить эту игру в школьную программу. Что же, отличная идея, учитывая полное совпадение нарратива игры с текущей повесткой государства. Только вот те, кто забывает историю, обречены на её повторение, что мы уже сейчас можем наблюдать во всём мире.",30+,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,,11,8.10.2023,Отрицательный
"Давайте сразу: в игре есть, мягко говоря, шероховатости в механиках. Но посыл, визуальный стиль и протагонистка всё компенсируют. Ребята, спасибо вам за эту игру, давно я ничего подобного не испытывал! Со времен, наверное, Valiant Hearts, Всем мира и пусть будет проклята война, дети не должны взрослеть раньше времени!",30+,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,5,7.10.2023,Положительный
"Не хватит духу поставить негативный отзыв, хочется всё же поддержать нашу студию, особенно зная в каком производственном аду была игра. Если интересно, по ней есть много текста на DTF от самих разработчиков. 

В целом берите, игра на 3-4 часа, артстайл хорош, но ничего нового в остальном для себя вы в ней не найдёте.  Вроде ясно, что тык-тык по предметам делай, жми D бля 3 часа подряд, поэтому ОЧЕНЬ надо вывозить сюжетом, но он не берёт прям совсем. Начало бодрое, но дальше становится просто скучно, сам мир мы знаем, ничего нового тут нет, идея персонажа с говорящими предметами (привет ШУЕ) вообще отличная, но одним милым героем (стоит отдать должное) и его перчаткой из кс за 500 бачинских не возьмёшь. В остальном не хочу прям говнить всю игру, но РЕАЛЬНО единственный минус тут - базовое взятие такой обсосанной темы и наложения на неё именно такого рода геймплея. Я бы честно лучше посмотрел на все те же проблемы, но с заново составленным миром, типо диско элизиума, ГДЕ КСТАТИ ТОЖЕ МОЖНО БАЗАРИТЬ С ПРЕДМЕТАМИ. после этих двух игр со мной почему то стало говорить kozel светлое...
Ужас войны для меня уложился в ебаных ямках, в которые невозможно не провалиться 25 раз подряд и щедро рассыпанных балках на полу, которые НЕВОЗМОЖНО БЛЯХА ЗАМЕТИТЬ С ПЕРВОГО РАЗА, Я ЗАЕБАЛСЯ ОБ НИХ СПОТЫКАТЬСЯ И ВЖИМАТЬ (Е) В КЛАВЕ, ПОДМЕТИТЕ ПОЛ НАХУЙ. Шутки шутками, объективно понятно зачем так сделано, чтобы хоть чуть чуть разнообразить -зажатие D 3 часа-
Всё это очень грустно, но будем считать это стандартной неудачей первой разработки. 
Желаю только дальнейших успехов разработчикам, видно, что могли лучше И я уверен БУДЕТ ЛУЧШЕ, если кто-то выживет из студии после таких продаж. Встретите этих мужиков - купите хоть балтику им, поможет прожить ещё день",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,7.10.2023,Положительный
"Я прошёл игру на 100% и могу смело заявить что она нормальная, подумайте сами, когда вы последний раз 
 видели, чтобы российская инди-игра, сделанная студией насчитывающей у себя в составе 9 человек, смогла выпустить игру в такое неспокойное время. Согласитесь не каждый день такое увидишь, особенного в русском геймдеве напоминающий труп, который иногда да подёргивается, ведь черепушке треснул нерв. Для многих из игроков эта игра стала пускай и небольшим, но открытием.
Я как человек, который пропустил всё на свете, услышал об этой игре только в день её релиза из паблика steam в ВК, толком и не слыхивая об игре и о её четырёх летней разработке. Решив попробовать данный продукт, я был приятно удивлён.
Из плюсов:
-Игра имеет качественный саундтрек, особенно в эпизодах где мы проходим зимние локации, слушая её  ты  расслабляешься. А в моментах с напряжением, она хорошо создаёт атмосферу.
-Плавные анимации, мелочь но приятно.
-Озвучка персонажей, она приятная, в особенности как не странно русская озвучка, нежели английская.
-Персонажи в игре, многие из них раскрываются в дневнике и записках героини, к примеру: Мама, Отец, Фрау Сельма. Но больше всех естественно раскрывается, воображаемый друг Товарищ Варежка - добрый,   харизматичный персонаж, который дополняет некоторые детали в диалогах и имеет, лично по моему мнению красивый голос.
-Что касательно геймплея, он не для всех, это говорили разработчики и я могу подтвердить их слова, геймплей здесь для людей которые не хотят никуда спешить, а хотят осматривать локации ища к примеру те же банальные записки, короче для людей не привыкшим к быстрому ритму.
-С моей визуальной точки зрения смешивание 2Д и 3Д, довольно интересная идея, особенно это можно заметить в эпизоде где мы находимся в немецком городе. Всё балансирует между собой, единственное что мне было не приятно так это небольшая рябь, в некоторых моментах её я плохо замечал, а в иногда немного, но давило на глаза.

Плюс/Минус:
Сюжет в игре не рыба, не мясо. Как бы и нормальный, но грешки имеет. В игре сюжет грустный, как сама концовка. В сюжете имеются довольно спорные моменты, которые всплывают при тщательном  продумыванием: Ася смогла чудом пережить 2 года в трудовом лагере немцев, Ася пережила не только бомбёжку в Сталинграде, но и бомбёжку в лагере, а кому было выгодно бомбить лагерь немцев? СССР в 1944 году в принципе уже знает о том что в концлагерях ( ой простите, трудовых лагерях) и лагерях смерти, огромное кол-во мирных граждан СССР и других стран, а это бы сильно подбило авторитет СССР. Фашистам это в принципе тоже не надо, ведь снаряды были нужны для войны, а если они бы захотели избавиться от пленных, то просто бы завели в газовые камеры, расстреляли или просто отправили в лагерь смерти для дальнейшего уничтожения. А Союзникам до этого не было и дела, ведь те планировали освобождение Франции. И это является сюжетной дырой; Как Ася выживала полтора месяца в лесу  скрываясь от солдат вермахта? В эпизоде на восточном фронте, известный вопрос ""куда исчез второй солдат"" И всеми известный допрос майора, который после допроса узнаёт о том что главная героиня дочь погибшего пилота-героя Аса-истребителя, так как Майор попутно узнаёт что Ася идёт в деревню где по её словам там ждут бабуля и тётка, вместо того чтобы попросить, проверить цела ли хотя бы сама деревня, он  просто отпускает главную героиню, что является довольно странным решением. 

Из минусов:
- Я проходил эту до вышедших двух патчей, и отчётливо помню что с платформингом были большие проблемы, сейчас пускай и не до такой степени, но проблемы имеются.
- Не один я только заметил странность, сделать героиню необычной, только из за того что она имеет синие волосы, я понимаю это дизайнерское решение, но скажите мне, пожалуйста почему тогда Цири из ведьмака является интересным персонажем, хотя у неё белые волосы; почему Лара Крофт из серии игр Tomb Raider, 
тоже является интересным персонажем, хотя у неё тёмно-коричневые волосы; да та же Зои из игры ghostrunner является пускай и немного, но интересным персонажем, пускай у неё были рыжие волосы. Если вы хотели отыграть на запоминании персонажа, можно было использовать ту же харизму, или историю персонажа, не только внешностью. Я не хочу сказать, что Ася получилась плохим персонажем, это нормальный персонаж со своими трудностями и переживаниями. Просто меня немного смутило что в игре используется серьёзный военный сетинг, а тут девчонка с синими волосами бегает, согласитесь немного странная картина. 

Могу советовать эту игру по скидке, помните стоит наслаждаться играми, (ну и то что Ася родилась в рубашке)",30+,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,6,7.10.2023,Положительный
"Грустная история о маленькой девочке с плохими коммунистами.

К сожалению, я был неприятно растроен наративом, который ребята стараются продвигать. Может быть у меня параноя, но я вижу следующие факты в игре:
1. Комната девочки в Сталинграде похожа на барак с металлической кроватью. А точно такая же команата [spoiler] в германии [/spoiler] милая и уютная.
2. Советские самолёты [spoiler] бомбят концлагерь. [/spoiler]
3. [spoiler] Злой НКВДшник в фильтрационном лагере [/spoiler] хочет отправить героиню в детдом на переучение, но [spoiler] тут узнаёт, что её отец герой и только поэтому [/spoiler] отпускает. 
4. Отпускает он её как-то очень странно. Типа едь сама куда хочешь, добирайся сама, помогать мы тебе конечно же не будем.
5. Финальная сцена вызвала у меня оторопь. [spoiler] Злые коммунисты оставляют маленькую девочку жить в поле с другими детьми-колеками. [/spoiler]

Хочу подсветить, что все персонажи, кого встречает Ася добры к ней. Будь это совеские пленные, советские солдаты или немецкие мирные жители. Она же маленькая девочка. А негативно к ней настроены только немецкие солдаты и советская система. Сама героиня сильна духом и не сдаётся. Варежка говорит в её голове голосом отца и даёт ей сил жить дальше. Но вся советская система показана, как порочная и античеловечная. Она подставляет девочку в начале игры, из-за неё [spoiler] погибает её мать и в конце система оставляет её в одиночестве на едине с разрухой. [/spoiler]

История по итогу грустная, но не по тем причинам, которым хотелось бы. 

В то же время играет пропагандирует правильное отношение к людям: сострадаение, помощь, любовь к ближнему, поддержка и забота. Ибодно, что плохими по итогу остаются коммунисты. Субъективно мне кажется, это неправильно. Но вы можете не соглашаться.",30+,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,,13,5.10.2023,Отрицательный
"Игра таки тронула в первой половине. Очень много историй о детях войны знаю, воспринимается это все близко к сердцу. Но очень сильно испортила впечатление концовка.

Отдельно низкий поклон художникам и композитору, к этой части игры вопросов совсем нет. 

СПОЙЛЕРЫ

Думал поставить плюс вплоть до прибытия Аси на фронт. Секция которая по всем законам драматургии должна стать кульминацией - возвращение к своим, возвращение домой. Сначала совершенно ненужная сцена убийства немца. Безумие фронта можно было показать рукопашной схваткой, например, между солдатами, но внезапный маньяк и его убийство чуть выбило из колеи.
Но дальше, простите, случается анекдот, который рушит все серьезное отношение к игре. 
Допрос чОрным НКВДшником в фильтрационном лагере. Маленькой девочки. В мае 1945 года. Когда я это увидел аж за голову схватился. Где он ее заставить полы мыть хотел? Во взятом Рейхстаге? Что это за приговор такой - сделать поломойкой? Он советскую девочку в рабство хотел взять? Вы в своем уме? А потом еще берет и просто выгоняет дочку героя-летчика саму добираться до дома. 

Я просто напоминаю что в Берлине стоит скульптура воина-освободителя, который держит на руках НЕМЕЦКУЮ девочку, автор, НЕМЕЦКУЮ, которую Николай Масалов спас во время боев за Берлин. Есть Трифон Лукьянович который тоже спас немецкую девочку уже ценой своей жизни, в эти же самые дни. А тут советскую девочку почти забрали в рабство поломойкой, а потом пинком отправили в тыл одну. 

Солдаты к маю 1945 года уже видели сожженные деревни Беларуси, уже открыли ворота Освенцима, они пропитались всем этим ужасом войны, они видели и общались с людьми жившими под оккупацией. Многих детей-сирот даже ставили на довольствие воинские подразделения, то есть отрывали от себя хлеб, чтобы дети не голодали. 

А тут вы на голубом глазу вместо кульминации возвращения выдаёте такое. Почитайте ""Судьбу человека"" Шолохова. Или посмотрите одноименный фильм, чтобы понимать что чувствовали солдаты и как относились к детям. 

Очень обидно.",30+,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,,13,5.10.2023,Отрицательный
"Поиграв в ""Torn Away"" понял, что ""Dead Space"", ""Residen Evil"", ""The Callisto Protocol"" и им подобные совсем не страшные истории, за героев таких игр совсем не переживаешь, ведь они выдумка и такого не было и не будет, а ""Torn Away"" - это одна из миллионов кошмарных историй которые происходили с детьми во время Великой Отечественной Войны.
Начинаешь понимаешь, что такое было и будет еще не раз, пока существует человечество, будут и войны. Понимаешь, что настоящие монстры - это не зомби, некроморфы и демоны, а люди. Сомневаюсь, что подобные игры будут интересны современной молодежи, а жаль, у них голова супер-геройским мусором забита. Хотелось бы еще на законодательном уровне закрепить ВСЕМ политикам мира раз месяц проходить подобные игры, что бы они хоть немного ""поучаствовали"" в том, к чему приводят их амбиции.
Если говорить конкретно о игре и технической части, здесь все безупречно (во всяком случае у меня). По ходу повествования играем в ""прятки"" и выполняем несложные мини-игры, отдельной похвали стоит озвучка, она просто ПОТРЯСАЮЩАЯ, густые голоса и душевные интонации заставили бы даже Станиславского сказать ""Верю"".
P.S. Фаина Раневская когда-то сказала: ""Есть люди, в которых живет Бог, есть люди, в которых живет дьявол, а есть люди, в которых живут только глисты"", так вот если внутри вас не живут глисты и дьявол, то обязательно покупайте.",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,4.10.2023,Положительный
"[h1] Всем мирного неба над головой без исключения, а я начинаю свой обзор…[/h1] 
События игры разворачиваются во круг девочки, которая переживает времена Второй мировой войны. Испытания для её семьи начинаются с того момента, когда её отца забирают на фронт, и они с матерью остаются в Двое в Сталинграде, но только до тех пор, пока город не начнут бомбить. Далее они попадают в плен, где нашей героине приходится очень быстро взрослеть в ходе разнообразных событий.😞
[hr][/hr]
[h2] Чем же запомнилась мне игра ?[/h2] 
Драматический сюжет, который показывает, на что способны люди во время войны. Передача атмосферы тех времен. Музыкальное и звуковое сопровождение. Игра тебя никуда не торопит, а постепенно рассказывает свое повествование. Кроме 2D сцен есть ещё и 3D сцены. Стоит так же похвалить отдельно за русскую озвучку. Я давно такой озвучки не слышал. От неё веет каким-то теплом даже в самых сложных или критических ситуациях. Тебе хочется слушать эти голоса. Больше всего хочу выделить на этом фоне озвучку за товарища Варежку. Что на счет графики, то тут уже на вкус и цвет, но я на неё перестал обращать внимание. Меня больше всего интересовало повествование.🧐
[hr][/hr]
[h2]ОЧЕНЬ СПОРНЫЕ МОМЕНТЫ (СПОЙЛЕРЫ)[/h2]
Мне игра понравилась, но есть моменты спорные, на которые бы хотелось услышать точную конкретику со стороны разработчиков. Внимание! Спойлеры дальше!
[spoiler]1. Есть подозрение, что летчик(и) СССР бомбил(и) лагерь пленных т.к. в следующих сценах будет встреча с пилотом из СССР, где неподалёку был лагерь. Если действительно бомбили, то зачем? 
2. Очень странный допрос НКВД-шника по отношению к девочке. В зависимости от диалогов её захотят заставить мыть полы, а когда узнают, что её отец герой, то отправят на все четыре стороны.[/spoiler] 
[hr][/hr]
[h2] Есть пожелания...[/h2] 
Хотелось бы увидеть какие-нибудь DLC по некоторым персонажам, а точнее, что с ними стало.. Судьба пилота Игоря осталась загадкой, как и госпожи Фрау Сельман или выживших из трудового лагеря.🧐
[hr][/hr]
Из плюсов:
✅Сюжет 
✅Персонажи
✅Музыкальное/Звуковое сопровождение от ситуации.
✅Поддержка Геймпадов (Я использовал от Xbox Series).
✅Достижения Steam.

[b]Среднее время игры:[/b] 3.5 - 4 часов 😉😉😉
У меня все! Благодарю за внимание! 😉😉😉
https://steamcommunity.com/sharedfiles/filedetails/?id=3045185555",23-30,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,7,3.10.2023,Положительный
"Купил игру, потому что знаю историю разработчиков и как они выживали, чтобы закончить эту игру.
Прошел за 3.5 часа

История опустошающая, я бы включил эту игру в школьную программу,
 чтобы люди с детства знали что такое война. 

Ни одного бага замечено не было, все мини игры кастомные и уникальные, что приятно удивляет.
Ну а переключение камеры от 2D изометрии к 3D - очень сильно погружает в атмосферу.

В общем, хорошая игровая драма, мои 3 часа пролетели незаметно.",17-22,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,5,2.10.2023,Положительный
"Хорошая игра, которая показывает, что от войны страдают все. Не могу сказать, что счастливый конец у неё, но худо-бедно не плохой. Историй с войны никогда не бывает много и вряд ли они когда-то закончатся, однако показать и рассказать подобные истории нужно уметь.
Стилистика игры может понравиться не каждому, но мне норм. Приятный саунд, озвучка персонажей душевная и повторюсь, представление истории с фронта тоже выполнен на 10/10.

Мне не понравился только платформинг в игре, он выполнен плохо. В остальном игра топчик!
Рекомендую к ознакомлению!",До 17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,5,1.10.2023,Положительный
"Игра классная и таких игр в подобии нет, какая трогательная история девочки, которая попала в лагерь а еще и пережила ужасы войны, что говориться, война это всегда много смертей, много утраты и просто всего, всегда будет актуально.
Желаю авторам и дальше делать такие душевные игры",17-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,3,1.10.2023,Положительный
"За старание палец вверх, конечно, поставлю, но игра больше не понравилась.
По сути у нас обычный лимбоинсайд, иногда пытающийся в пойнт-энд-клик, при этом герои ещё и заговорили, что нетипично для поджанра. Ничего особо примечательного и выделяющегося в игре просто нет. Вот этот бег с препятствиями и фееричные прыжки через ямки, а также маленькие окна для пробегания мимо света фонарика/града пуль вообще омрачают картину.
Если хотите неплохую игру из подобных, то ""Planet of Lana"" вон не так давно вышла. Если хотите чего-то похожего, но про войну, то ""Valiant Hearts"" ждёт вашего (пере)прохождения. Там и игра, и история. Ну а так можно, но только если вам совсем не во что играть.",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1.10.2023,Положительный
"Пару раз всплакнул. Великолепная игра, остался очень доволен. Эмоциональная, необычная, интересная. 
Это история про наших дедушек и бабушек в годы Великой Отечественной Войны. История переживания всех ужасов и испытаний на нашей земле. Многие ситуации вызывали слезы, когда из первых уст осведомлен ""как это было"" в далеком 41-ом.",30+,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,4,30.9.2023,Положительный
"Очень эмоциональная история, не оставляющая равнодушным. Чувствовалось, что авторы знакомы с дневниками блокадного Ленинграда. Невероятный стиль и красивая, рисованная графика, отлично передающие атмосферу войны глазами ребенка. Главный посыл, который можно получить через игру - победителей нет, есть только покалеченные души, тела, кровь и слезы.

[h1]Понравилось:[/h1]
- Графика, очень круто
- История и эмоциональная подача (конечно не уровень what remains of edith finch, но как я понимаю это только первая игра от студии)
- Простые медитативные головоломки
- Переключение с 2.5D в 3D. 

[h1]Не понравилось:[/h1]
-В сценах с погонями, где нужно прыгать, местами прям тяжко
-Пазл в холодильнике фрау, заставил попотеть

P.S. Перчатка, прости. Я тебя не забуду.",23-30,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,8,30.9.2023,Положительный
"Товарищ [Варежка] закрой [свою] варежку! [refund]

Лирическое отступление:
1967ый [отец] Рувим Абелевич Качанов [Роман Абелевич Качанов] снимает [анимационный] фильм ""Варежка""
2000ый [сын] Роман Романович Качанов снимает фильм [игровой] ДМБ
[гиппер задача отступления проста: как сильно мы поменялись и что в 23ем году мы можем рассказать за Великую Отечественную?]

И так: дело простое - Великая Отечественная просто кладезь всяческих драматических / поучительных и антивоенных сценариев...

Но так случилось, что [лично я] в лице этой игры вижу первую [неудачную] попытку [от отечественных] разработчиков разыграть драму в декорациях ВОВ [была какая то кривая демка про блокаду Ленинграда а стратегии и авиасимуляторы мы не считаем за игры с сюжетом]

И что же меня [редиску такого] тут не устраивает?
Если кратко: вторичность и деградация [меня тут не устраивает]

Если долго:
- Всё хорошее что я тут увидел - скопировано из [url=https://steamcommunity.com/id/Bearless_Russian/recommended/304430/] INSIDE [/url] 
- Нарратив - тут есть самая большая ошибка сама по себе, но то что текста овер дохрена - это просто провал [шизофренический товарищ Варежка тарахтит как xуй в коробке, комментируя каждый пук, не в тему и дурно шутит, договорился до того, что ён ""на колчаковских фронтах"" и ггиня его ""заштопала"", кукла вообще пыталась навесить комплекс вины хз с какого... всё разжевывается, смазывается желудочным соком и кладётся в рот...] Да ёлки-маталки: ненарративное повествование оставило бы столько пространства для додумывания и нахождения собственных ассоциаций...
- Логические связки между кусками сюжета / мизансценами зачастую поломаны [пример: перевязываем лётчика, ён говорит: ""город там"" и стреляется... в чём тут помощь и жертвенность не понятно... всё волкАм сподручней перекусить свежей девочкой чем лежалым сбитым лётчиком... пример: разбомбили лагерь, в момент когда было жуткое столпотворение, все и живые и раненные и убитые кудайто делись, осталась Ася и мама...]
- Мы живём во времена когда на 9е мая девочки дизайнершы лепят плакаты с эсэсовцами и панцерами на регулярной основе и [кто бы мог подумать] эта беда дошла и до игр - горчишники у остарбайиеров, [конечно же] замазанные свастики и тд и тп...
- Катарсис [кроме момента с воспоминанием лётчика, окончательно подвинувший меня на путь рефанда] я не испытал не разу, тк на несколько шагов вперёд было понятно как и какие эмоции с меня будут тянуть [момент с бегом Аси к телу матери - да был понятен результат, да и нелеп был сам процест выдавливания эмоций]
- Синие [спасибо конечно что не РОЗОВЫЕ] волосы гг и довольно диснеевский Варежка [давайте вспомним Варежку Качанова или Чучу Бардина] говорят о том, что запоминающийся образ гг и товарища создать не получилось [ушанка - очередная ""развесистая клюква"" для интуристов]
- ""Образовательные"" мини-игры... Мда, теперь игравшие в игру смогут шить / запускать патефон / чинить сапожки / разжигать костёр и РЕФАНДИТЬ вторичные, бесталанные игры - в общем и целом не мини-игры а просто ПУТЁВКА В ЖИЗНЬ какая то [просто урок труда] [сам я не против всяческих рукоделий, но это ломает ритм игры]
- Искусственное затягивание [типичный моветон]
- Какой то мутный издатель [Hawthorn Games] [непонятные китайцы что ли, уноваживающие стим непонятным трешем...] как вполне приличная [на первый взгляд] игра к ним попала - непонятно...
- Русского названия нет как такового [на дворе 23й год и надо быть дoxера ""умным"", чтоб попытаться продавать российскую игру про девочку из Сталинграда времён ВОВ, на западе... как результат - 56 игрока на пике тут... ну верим что продажи в вк плей прокормят - смех сквозь слёзы...] [первый издатель Nordcurrent, тоже не издавший ничего путного, игроделов кинул по причине их унтерменшеского гражданства / происхождения, и тут уже пора было переориентироваться на отечественных игроков и сделать русскоязычное название]
- Фейковые обзоры от фейковых кураторов [наиграно 3 часа - для того чтоб при появлении карточек они сразу выпали в инвентарь, а по ачивкам видно что не пройдена первая часть на прохождение которой у меня ушло 10 минут] тк они пролайканы и прокомменчены самими же фековыми кураторами - ни просмотров не подписчиков, тем более новых ироков и новых продаж игры - НЕ ДАЮТ! [а опытному стим пользователю всё это говорит о том, что игра настолько хороша, что играть её более 10 минут ""кураторы"" просто НЕ СМОГЛИ]
- Где переживания гг? ну убили зайца-выбигайца и убили что бухтеть... ну маму убили и хрен с ней... ну летчик Игорь - да вообще кто это? Не героиня ни игрок не успевает привязаться не к зайцу ни к маме... Фрау немка вообще показана только с Хичкоковским тесаком... Все переживания выражаются только в так себе нарисованном лице ггини [опять же вспоминаем лицо гг из ""иди и смотри"" - уж там вот всё отражается и самое главное как ребёнок стал стариком - вот счас вспомнил и холодок пробежал по спине!]


В общем и целом: после 24го выпускать игру про 44ый [а демку я играл задолго до 24го] это всё одно что в 42м [1942] делать фильм про 12 [1812] и люди уже бесконечно далеки от происходящего и сейчас [К СОЖАЛЕНИЮ] разворачивается драма не меньшая...
Хорошо копировать хорошее и плохо делать своё...
Душить игрока душным текстом от душных персонажей [я б свому ребёнку не дал себя травмировать этим корявым Бэмби... да по моему ребёнок и сам задушится и затоскует не дойдя до момента убийства близких родственников - я не могу понять на какую возрастную аудиторию игра рассчитана]



[URL=https://store.steampowered.com/curator/34966048/]Больше ""обзоров"" тут!    [НЕ боись / НЕ ленись! ПОДПИШИСЬ!] [/URL]

P.S.:
Таки допрошёл [это гамнo] игру на ютубе и всё оказалось ещё хуже:
- ""Да как сели — мы на Родине в плену"" впервые историю про то как сбежавший из плена боец РККА попадает в ""гулаг"" [лично я] увидел в фильме""Охота на единорога"" 1989 года... Сейчас это МЕЙНСТРИМ [по моему было такое в одном из COH`ов]
- ""Л"" логиеские связки стали ещё хуже... Асю заметили 2 солдата, один пошёл пенетрировать другого спугнула медсестра что ли? Для девочки сироты получается лучший исход не помещение в интернат [где её помоют / оденут и накормят] а выпустить на вольные хлеба [я бы сценаристов игры выпустил на вольные хлеба на пару дней] Вроде история начиналась в Сталинграде [мы видим типичную современную московскую семью: мама / папа / ребёнок], но гг возвертается в деревню где ""враги сожгли родную хату"" [собсно на тот момент урбанизация страны не была так велика, семьи были многодетными и у гг обязательно должны были быть родственники]
- Идеология? ""Война - это плохо!"" ну давайте посмотрим на онлайн cs2... Где история про то что ""фашизм - это плохо"" [шкелеты еврейки с ребёнком в подвале можно и не заметить, а заметив спокойно пить эрзац кофий в кресле качалке, опять же гг могла бы по христианскому обычаю похоронить недоеденные мышью тела...] Где история про ""подвиг народа""? Где история про подвиг народа по восстановлению страны?


И так: как внук ""детей воны"" я крепко разочарован [бабушка моя почти всю войну просидела в оккупации и историй а-ля ""иди и смотри"" / ""могила светлячков"" лично я сам слышал вагон и маленькую тележку] [многих двоюродных бабушек и дедушек угоняли на работы, некоторых высылали как ""кулаков"" в 20е и этот штамп с допросом девочки в нквд ну просто плевок в харю, заигрывание с западной публикой] Опять и снова: сейчас вспоминаю рассказы бабушек, как они будучи под оккупацией видя самолёты со звёздами, вздымали кулаки к небу и кричали им: ""Ястребки, бейте их гадов!"" и у меня мурашки по коже... Тут такого нет...

Вот собсно и всё: мы другие люди, живущие с другой стране по другим правилам и уже даже говорящие на другом языке и делать пожалейку с выдавливанием слёзок вполне уже можно и о современных реалиях / войнах",30+,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,7,29.9.2023,Отрицательный
